2018-Aug-03 16:36:27.572872 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:36:39.573724 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:36:51.574561 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:37:03.575418 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:37:15.576285 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:37:27.577144 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:37:39.578015 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:37:51.578908 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:38:03.579763 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:38:15.580595 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:38:27.581472 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:38:39.582328 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:38:51.583169 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:39:03.584032 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:39:15.586730 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:39:27.587596 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:39:39.588452 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:39:51.589326 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:40:03.590207 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:40:15.591072 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:40:27.591927 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:40:39.592796 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:40:51.593658 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:41:03.594683 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:41:15.595532 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:41:27.596398 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:41:39.597248 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:41:51.598103 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:42:03.598968 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:42:15.599823 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:42:27.600694 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:42:39.601508 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:42:51.602359 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:43:03.603212 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:43:15.604076 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:43:27.604985 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:43:39.605854 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:43:51.606678 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:44:03.607626 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:44:15.608475 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:44:27.609330 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:44:39.610057 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:44:51.610889 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:45:03.611695 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:45:15.612516 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:45:27.613397 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:45:39.614131 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:45:51.614965 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:46:03.615776 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
